PDB ID,Deposition Date
2VQE,2008
2VQF,2008
2VRH,2008
2WW9,2009
2WWA,2009
2WWB,2009
2YKR,2011
2ZJP,2008
2ZJQ,2008
2ZJR,2008
2ZM6,2008
3BBU,2007
3BBV,2007
3BBX,2007
3BN0,2007
3BO0,2007
3BO1,2007
3CC2,2008
3CC4,2008
3CC7,2008
3CCE,2008
3CCJ,2008
3CCL,2008
3CCM,2008
3CCQ,2008
3CCR,2008
3CCS,2008
3CCU,2008
3CCV,2008
3CD6,2008
3CF5,2008
3CMA,2008
3CME,2008
3CPW,2008
3CXC,2008
3DD7,2008
3DD9,2008
3DEG,2008
3DG0,2008
3DG2,2008
3DG4,2008
3DG5,2008
3DLL,2008
3FWO,2009
3G4S,2009
3G6E,2009
3G71,2009
3I55,2009
3I56,2009
3IY8,2009
3IY9,2009
3IZD,2010
3J0L,2011
3J0O,2011
3J0P,2011
3J0Q,2011
3J16,2011
3J28,2012
3J29,2012
3J2A,2012
3J2B,2012
3J2C,2012
3J2D,2012
3J2E,2012
3J2F,2012
3J2G,2012
3J2H,2012
3J3V,2013
3J3W,2013
3J45,2013
3J46,2013
3J5L,2013
3J5S,2013
3J6B,2014
3J6X,2014
3J6Y,2014
3J77,2014
3J78,2014
3J79,2014
3J7A,2014
3J7O,2014
3J7P,2014
3J7Q,2014
3J7R,2014
3J7Y,2014
3J7Z,2014
3J80,2014
3J81,2014
3J8G,2014
3J92,2014
3J9M,2015
3J9W,2015
3J9Y,2015
3J9Z,2015
3JA1,2015
3JAG,2015
3JAH,2015
3JAI,2015
3JAJ,2015
3JAN,2015
3JBN,2015
3JBO,2015
3JBP,2015
3JBU,2015
3JBV,2015
3JCD,2015
3JCE,2015
3JCJ,2015
3JCN,2016
3JCS,2016
3JCT,2016
3JD5,2016
3OTO,2010
3OW2,2010
3PIO,2010
3PIP,2010
3T1H,2011
3T1Y,2011
486D,1999
487D,2000
4A2I,2011
4ADX,2012
4AQY,2012
4B3M,2012
4B3R,2012
4B3S,2012
4B3T,2012
4BTS,2013
4CE4,2013
4CSU,2014
4D5L,2014
4D5N,2014
4D5Y,2014
4D61,2014
4D67,2014
4DR1,2012
4DR2,2012
4DR3,2012
4DR4,2012
4DR5,2012
4DR6,2012
4DR7,2012
4DUY,2012
4DUZ,2012
4DV0,2012
4DV1,2012
4DV2,2012
4DV3,2012
4DV4,2012
4DV5,2012
4DV6,2012
4DV7,2012
4GKJ,2012
4GKK,2012
4GMQ,2012
4IO9,2013
4IOA,2013
4IOC,2013
4JI0,2013
4JI1,2013
4JI2,2013
4JI3,2013
4JI4,2013
4JI5,2013
4JI6,2013
4JI7,2013
4JI8,2013
4JV5,2013
4JYA,2013
4K0K,2013
4KHP,2013
4KVB,2013
4KZX,2013
4KZY,2013
4KZZ,2013
4L47,2013
4L71,2013
4LEL,2013
4LF4,2013
4LF5,2013
4LF6,2013
4LF7,2013
4LF8,2013
4LF9,2013
4LFA,2013
4LFB,2013
4LFC,2013
4LFZ,2013
4LNT,2013
4LSK,2013
4LT8,2013
4NXM,2013
4NXN,2013
4OX9,2014
4P6F,2014
4P70,2014
4TUA,2014
4TUB,2014
4TUC,2014
4TUD,2014
4TUE,2014
4U1U,2014
4U1V,2014
4U20,2014
4U24,2014
4U25,2014
4U26,2014
4U27,2014
4U3M,2014
4U3N,2014
4U3U,2014
4U4N,2014
4U4O,2014
4U4Q,2014
4U4R,2014
4U4U,2014
4U4Y,2014
4U4Z,2014
4U50,2014
4U51,2014
4U52,2014
4U53,2014
4U55,2014
4U56,2014
4U67,2014
4U6F,2014
4UG0,2015
4UJC,2014
4UJD,2014
4UJE,2014
4UY8,2014
4V19,2014
4V1A,2014
4V3P,2014
4V42,2001
4V47,2003
4V48,2003
4V49,2003
4V4A,2003
4V4B,2004
4V4G,2004
4V4H,2006
4V4I,2007
4V4J,2007
4V4N,2013
4V4P,2005
4V4Q,2005
4V4R,2005
4V4S,2005
4V4T,2005
4V4V,2006
4V4W,2006
4V4X,2006
4V4Y,2006
4V4Z,2006
4V50,2006
4V51,2006
4V52,2007
4V53,2007
4V54,2007
4V55,2007
4V56,2007
4V57,2007
4V5A,2007
4V5B,2007
4V5C,2009
4V5D,2009
4V5E,2009
4V5F,2009
4V5G,2009
4V5H,2009
4V5J,2010
4V5K,2010
4V5L,2010
4V5M,2010
4V5N,2010
4V5O,2010
4V5P,2010
4V5Q,2010
4V5R,2010
4V5S,2010
4V5Y,2007
4V61,2007
4V63,2008
4V64,2008
4V65,2008
4V66,2008
4V67,2008
4V68,2008
4V69,2008
4V6A,2009
4V6C,2009
4V6D,2009
4V6E,2009
4V6F,2009
4V6G,2009
4V6I,2010
4V6K,2011
4V6L,2011
4V6M,2011
4V6N,2011
4V6O,2011
4V6P,2011
4V6Q,2011
4V6R,2011
4V6S,2011
4V6T,2012
4V6U,2012
4V6V,2013
4V6W,2013
4V6X,2013
4V6Y,2013
4V6Z,2013
4V70,2013
4V71,2013
4V72,2013
4V73,2013
4V74,2013
4V75,2013
4V76,2013
4V77,2013
4V78,2013
4V79,2013
4V7A,2013
4V7B,2013
4V7E,2013
4V7F,2013
4V7H,2009
4V7I,2009
4V7J,2009
4V7K,2009
4V7L,2009
4V7M,2009
4V7P,2010
4V7R,2010
4V7S,2010
4V7T,2010
4V7U,2010
4V7V,2010
4V7W,2010
4V7X,2010
4V7Y,2010
4V7Z,2010
4V83,2010
4V84,2010
4V85,2011
4V87,2011
4V88,2011
4V89,2011
4V8A,2011
4V8B,2011
4V8C,2011
4V8D,2011
4V8E,2011
4V8F,2011
4V8G,2011
4V8H,2011
4V8I,2011
4V8J,2011
4V8M,2012
4V8N,2013
4V8O,2011
4V8P,2011
4V8Q,2011
4V8T,2012
4V8U,2012
4V8X,2013
4V8Y,2013
4V8Z,2013
4V90,2014
4V91,2014
4V92,2014
4V95,2012
4V97,2012
4V9A,2012
4V9B,2012
4V9C,2012
4V9D,2012
4V9F,2012
4V9H,2013
4V9I,2013
4V9J,2013
4V9K,2013
4V9L,2013
4V9M,2013
4V9N,2013
4V9O,2013
4V9P,2013
4V9Q,2013
4V9R,2013
4V9S,2013
4W29,2014
4W2E,2014
4W2F,2014
