PDB ID,Year,Method
3CME,2008,X-RAY DIFFRACTION
3CPW,2008,X-RAY DIFFRACTION
3CXC,2008,X-RAY DIFFRACTION
3DD7,2008,X-RAY DIFFRACTION
3DD9,2008,X-RAY DIFFRACTION
3DEG,2008,ELECTRON MICROSCOPY
3DG0,2008,ELECTRON MICROSCOPY
3DG2,2008,ELECTRON MICROSCOPY
3DG4,2008,ELECTRON MICROSCOPY
3DG5,2008,ELECTRON MICROSCOPY
3DLL,2008,X-RAY DIFFRACTION
3FWO,2009,X-RAY DIFFRACTION
3G4S,2009,X-RAY DIFFRACTION
3G6E,2009,X-RAY DIFFRACTION
3G71,2009,X-RAY DIFFRACTION
3I55,2009,X-RAY DIFFRACTION
3I56,2009,X-RAY DIFFRACTION
3IY8,2009,ELECTRON MICROSCOPY
3IY9,2009,ELECTRON MICROSCOPY
3IZD,2010,ELECTRON MICROSCOPY
3J0L,2011,ELECTRON MICROSCOPY
3J0O,2011,ELECTRON MICROSCOPY
3J0P,2011,ELECTRON MICROSCOPY
3J0Q,2011,ELECTRON MICROSCOPY
3J16,2011,ELECTRON MICROSCOPY
3J28,2012,ELECTRON MICROSCOPY
3J29,2012,ELECTRON MICROSCOPY
3J2A,2012,ELECTRON MICROSCOPY
3J2B,2012,ELECTRON MICROSCOPY
3J2C,2012,ELECTRON MICROSCOPY
3J2D,2012,ELECTRON MICROSCOPY
3J2E,2012,ELECTRON MICROSCOPY
3J2F,2012,ELECTRON MICROSCOPY
3J2G,2012,ELECTRON MICROSCOPY
3J2H,2012,ELECTRON MICROSCOPY
3J3V,2013,ELECTRON MICROSCOPY
3J3W,2013,ELECTRON MICROSCOPY
3J45,2013,ELECTRON MICROSCOPY
3J46,2013,ELECTRON MICROSCOPY
3J5L,2013,ELECTRON MICROSCOPY
3J5S,2013,ELECTRON MICROSCOPY
3J6B,2014,ELECTRON MICROSCOPY
3J6X,2014,ELECTRON MICROSCOPY
3J6Y,2014,ELECTRON MICROSCOPY
3J77,2014,ELECTRON MICROSCOPY
3J78,2014,ELECTRON MICROSCOPY
3J79,2014,ELECTRON MICROSCOPY
3J7A,2014,ELECTRON MICROSCOPY
3J7O,2014,ELECTRON MICROSCOPY
3J7P,2014,ELECTRON MICROSCOPY
3J7Q,2014,ELECTRON MICROSCOPY
3J7R,2014,ELECTRON MICROSCOPY
3J7Y,2014,ELECTRON MICROSCOPY
3J7Z,2014,ELECTRON MICROSCOPY
3J80,2014,ELECTRON MICROSCOPY
3J81,2014,ELECTRON MICROSCOPY
3J8G,2014,ELECTRON MICROSCOPY
3J92,2014,ELECTRON MICROSCOPY
3J9M,2015,ELECTRON MICROSCOPY
3J9W,2015,ELECTRON MICROSCOPY
3J9Y,2015,ELECTRON MICROSCOPY
3J9Z,2015,ELECTRON MICROSCOPY
3JA1,2015,ELECTRON MICROSCOPY
3JAG,2015,ELECTRON MICROSCOPY
3JAH,2015,ELECTRON MICROSCOPY
3JAI,2015,ELECTRON MICROSCOPY
3JAJ,2015,ELECTRON MICROSCOPY
3JAN,2015,ELECTRON MICROSCOPY
3JBN,2015,ELECTRON MICROSCOPY
3JBO,2015,ELECTRON MICROSCOPY
3JBP,2015,ELECTRON MICROSCOPY
3JBU,2015,ELECTRON MICROSCOPY
3JBV,2015,ELECTRON MICROSCOPY
3JCD,2015,ELECTRON MICROSCOPY
3JCE,2015,ELECTRON MICROSCOPY
3JCJ,2015,ELECTRON MICROSCOPY
3JCN,2016,ELECTRON MICROSCOPY
3JCS,2016,ELECTRON MICROSCOPY
3JCT,2016,ELECTRON MICROSCOPY
3JD5,2016,ELECTRON MICROSCOPY
3OTO,2010,X-RAY DIFFRACTION
3OW2,2010,X-RAY DIFFRACTION
3PIO,2010,X-RAY DIFFRACTION
3PIP,2010,X-RAY DIFFRACTION
3T1H,2011,X-RAY DIFFRACTION
3T1Y,2011,X-RAY DIFFRACTION
486D,1999,X-RAY DIFFRACTION
487D,2000,ELECTRON MICROSCOPY
4A2I,2011,ELECTRON MICROSCOPY
4ADX,2012,ELECTRON MICROSCOPY
4AQY,2012,X-RAY DIFFRACTION
4B3M,2012,X-RAY DIFFRACTION
4B3R,2012,X-RAY DIFFRACTION
4B3S,2012,X-RAY DIFFRACTION
4B3T,2012,X-RAY DIFFRACTION
4BTS,2013,X-RAY DIFFRACTION
4CE4,2013,ELECTRON MICROSCOPY
4CSU,2014,ELECTRON MICROSCOPY
4D5L,2014,ELECTRON MICROSCOPY
4D5N,2014,ELECTRON MICROSCOPY
4D5Y,2014,ELECTRON MICROSCOPY
4D61,2014,ELECTRON MICROSCOPY
4D67,2014,ELECTRON MICROSCOPY
4DR1,2012,X-RAY DIFFRACTION
4DR2,2012,X-RAY DIFFRACTION
4DR3,2012,X-RAY DIFFRACTION
4DR4,2012,X-RAY DIFFRACTION
4DR5,2012,X-RAY DIFFRACTION
4DR6,2012,X-RAY DIFFRACTION
4DR7,2012,X-RAY DIFFRACTION
4DUY,2012,X-RAY DIFFRACTION
4DUZ,2012,X-RAY DIFFRACTION
4DV0,2012,X-RAY DIFFRACTION
4DV1,2012,X-RAY DIFFRACTION
4DV2,2012,X-RAY DIFFRACTION
4DV3,2012,X-RAY DIFFRACTION
4DV4,2012,X-RAY DIFFRACTION
4DV5,2012,X-RAY DIFFRACTION
4DV6,2012,X-RAY DIFFRACTION
4DV7,2012,X-RAY DIFFRACTION
4GKJ,2012,X-RAY DIFFRACTION
4GKK,2012,X-RAY DIFFRACTION
4GMQ,2012,X-RAY DIFFRACTION
4IO9,2013,X-RAY DIFFRACTION
4IOA,2013,X-RAY DIFFRACTION
4IOC,2013,X-RAY DIFFRACTION
4JI0,2013,X-RAY DIFFRACTION
4JI1,2013,X-RAY DIFFRACTION
4JI2,2013,X-RAY DIFFRACTION
4JI3,2013,X-RAY DIFFRACTION
4JI4,2013,X-RAY DIFFRACTION
4JI5,2013,X-RAY DIFFRACTION
4JI6,2013,X-RAY DIFFRACTION
4JI7,2013,X-RAY DIFFRACTION
4JI8,2013,X-RAY DIFFRACTION
4JV5,2013,X-RAY DIFFRACTION
4JYA,2013,X-RAY DIFFRACTION
4K0K,2013,X-RAY DIFFRACTION
4KHP,2013,X-RAY DIFFRACTION
4KVB,2013,X-RAY DIFFRACTION
4KZX,2013,X-RAY DIFFRACTION
4KZY,2013,X-RAY DIFFRACTION
4KZZ,2013,X-RAY DIFFRACTION
4L47,2013,X-RAY DIFFRACTION
4L71,2013,X-RAY DIFFRACTION
4LEL,2013,X-RAY DIFFRACTION
4LF4,2013,X-RAY DIFFRACTION
4LF5,2013,X-RAY DIFFRACTION
4LF6,2013,X-RAY DIFFRACTION
4LF7,2013,X-RAY DIFFRACTION
4LF8,2013,X-RAY DIFFRACTION
4LF9,2013,X-RAY DIFFRACTION
4LFA,2013,X-RAY DIFFRACTION
4LFB,2013,X-RAY DIFFRACTION
4LFC,2013,X-RAY DIFFRACTION
4LFZ,2013,X-RAY DIFFRACTION
4LNT,2013,X-RAY DIFFRACTION
4LSK,2013,X-RAY DIFFRACTION
4LT8,2013,X-RAY DIFFRACTION
4NXM,2013,X-RAY DIFFRACTION
4NXN,2013,X-RAY DIFFRACTION
4OX9,2014,X-RAY DIFFRACTION
4P6F,2014,X-RAY DIFFRACTION
4P70,2014,X-RAY DIFFRACTION
4TUA,2014,X-RAY DIFFRACTION
4TUB,2014,X-RAY DIFFRACTION
4TUC,2014,X-RAY DIFFRACTION
4TUD,2014,X-RAY DIFFRACTION
4TUE,2014,X-RAY DIFFRACTION
4U1U,2014,X-RAY DIFFRACTION
4U1V,2014,X-RAY DIFFRACTION
4U20,2014,X-RAY DIFFRACTION
4U24,2014,X-RAY DIFFRACTION
4U25,2014,X-RAY DIFFRACTION
4U26,2014,X-RAY DIFFRACTION
4U27,2014,X-RAY DIFFRACTION
