DOI,PDB ID,Deposition Date,Struct Count,Experimental Method
10.1038/35101544,"['1J5A', '1JZZ', '1JZY', '1JZX', '1K01']","['2002', '2001']",5,X-RAY DIFFRACTION
10.1038/nsmb1271,"['4V52', '4V5Y', '4V55', '4V54', '4V53']","['2007']",5,X-RAY DIFFRACTION
10.1038/ncomms10471,"['5GAE', '5GAD', '5GAF', '5GAH', '5GAG']","['2015']",5,ELECTRON MICROSCOPY
10.1128/mBio.03117-19,"['6V3D', '6V3E', '6V3A', '6V3B', '6V39']","['2019']",5,ELECTRON MICROSCOPY
10.7554/eLife.14874,"['5JUO', '5JUU', '5JUS', '5JUT', '5JUP']","['2016']",5,ELECTRON MICROSCOPY
10.1038/s41467-018-05465-1,"['6GXP', '6GXN', '6GXO', '6GWT', '6GXM']","['2018']",5,ELECTRON MICROSCOPY
10.1016/J.MOLCEL.2014.12.016,"['4D67', '4D5Y', '4D5L', '4D61', '4D5N']","['2014']",5,ELECTRON MICROSCOPY
10.1261/rna.046953.114,"['4TUE', '4TUB', '4TUD', '4TUC', '4TUA']","['2014']",5,X-RAY DIFFRACTION
10.1073/pnas.172404099,"['1Q7Y', '1Q86', '1M90', '1Q81', '1Q82']","['2003', '2002']",5,X-RAY DIFFRACTION
10.1371/journal.pbio.3000780,"['6Z6K', '6Z6L', '6Z6N', '6Z6M', '6Z6J']","['2020']",5,ELECTRON MICROSCOPY
10.1016/j.jmb.2019.02.002,"['6J45', '6IZ7', '6IZI', '6IY7', '6J0A']","['2019', '2018']",5,ELECTRON MICROSCOPY
10.1073/pnas.1007988107,"['4V7U', '4V7T', '4V7S', '4V7V']","['2010']",4,X-RAY DIFFRACTION
10.1016/j.jmb.2019.12.016,"['6MPI', '6MPF', '6DTI', '6MKN']","['2018']",4,X-RAY DIFFRACTION
10.1016/j.molcel.2018.08.037,"['6HCJ', '6HCM', '6HCQ', '6HCF']","['2018']",4,ELECTRON MICROSCOPY
10.1073/pnas.2004170117,"['6OJ2', '6OPE', '6OF6', '6ORD']","['2019']",4,X-RAY DIFFRACTION
10.1038/s42003-020-0780-0,"['6SWC', '6SWE', '6SWD', '6SW9']","['2019']",4,ELECTRON MICROSCOPY
10.1038/NSMB.2003,"['4V5R', '4V5S', '4V5P', '4V5Q']","['2010']",4,X-RAY DIFFRACTION
10.1038/NCOMMS4112,"['4B3T', '4B3S', '4B3R', '4B3M']","['2012']",4,X-RAY DIFFRACTION
10.1126/science.1236086,"['4V9M', '4V9K', '4V9J', '4V9L']","['2013']",4,X-RAY DIFFRACTION
10.1073/pnas.1517952112,"['4WFB', '4WF9', '4WFA', '4WCE']","['2014']",4,X-RAY DIFFRACTION
10.1016/j.molcel.2011.07.040,"['3J0P', '3J0L', '3J0Q', '3J0O']","['2011']",4,ELECTRON MICROSCOPY
10.1073/pnas.1008685107,"['4V7Z', '4V7Y', '4V7X', '4V7W']","['2010']",4,X-RAY DIFFRACTION
10.1093/nar/gkz760,"['6OXI', '6NY6', '6OTR', '6OXA']","['2019']",4,X-RAY DIFFRACTION
10.1093/emboj/20.8.1829,"['1I94', '1I97', '1I96', '1I95']","['2001']",4,X-RAY DIFFRACTION
10.1093/nar/gky1178,"['6BZ8', '6BZ6', '6BZ7', '6BUW']","['2017']",4,X-RAY DIFFRACTION
10.1038/s41598-019-48019-1,"['6S0Z', '6S0X', '6S13', '6S12']","['2019']",4,ELECTRON MICROSCOPY
10.1126/science.aav9370,"['6Q95', '6Q98', '6Q9A', '6Q97']","['2018']",4,ELECTRON MICROSCOPY
10.1038/s41598-018-31850-3,"['5ZEU', '5ZET', '5ZEB', '5ZEP']","['2018']",4,ELECTRON MICROSCOPY
10.1016/j.cell.2014.11.049,"['4WQF', '4WPO', '4WQY', '4WQU']","['2014']",4,X-RAY DIFFRACTION
10.1016/S0022-2836(03)00668-5,"['1K73', '1NJI', '1KC8', '1N8R']","['2001', '2002']",4,X-RAY DIFFRACTION
10.1038/cr.2017.104,"['5XXU', '5XY3', '5XXB', '5XYI']","['2017']",4,ELECTRON MICROSCOPY
10.1016/S1097-2765(02)00570-1,"['1K9M', '1K8A', '1M1K', '1KD1']","['2001', '2002']",4,X-RAY DIFFRACTION
10.1016/S1097-2765(03)00009-1,"['1NJM', '1NJP', '1NJN', '1NJO']","['2003']",4,X-RAY DIFFRACTION
10.1038/nature12302,"['4V9I', '4JYA', '4K0K', '4JV5']","['2013']",4,X-RAY DIFFRACTION
10.7554/eLife.17029,"['5KPS', '5KPX', '5KPV', '5KPW']","['2016']",4,ELECTRON MICROSCOPY
10.1016/S0092-8674(02)01086-3,"['1N34', '1N32', '1N33', '1N36']","['2002']",4,X-RAY DIFFRACTION
10.1016/j.cell.2014.05.024,"['3J7Q', '3J7R', '3J7O', '3J7P']","['2014']",4,ELECTRON MICROSCOPY
10.1038/nsmb.3148,"['4X66', '4X65', '4X64', '4X62']","['2014']",4,X-RAY DIFFRACTION
10.1038/nsmb.2871,"['1VY4', '1VY5', '1VY6', '1VY7']","['2014']",4,X-RAY DIFFRACTION
10.7554/eLife.40486,"['6MTC', '6MTE', '6MTD', '6MTB']","['2018']",4,ELECTRON MICROSCOPY
10.1016/j.celrep.2016.08.085,"['5CZP', '5J3C', '5J30', '5DFE']","['2015', '2016']",4,X-RAY DIFFRACTION
10.1126/science.aai9127,"['5MDZ', '5MDY', '5MDW', '5MDV']","['2016']",4,ELECTRON MICROSCOPY
10.7554/eLife.46267,"['6R6G', '6R7Q', '6R6P', '6R5Q']","['2019']",4,ELECTRON MICROSCOPY
10.1038/nsmb1242,"['2UUA', '2UUC', '2UU9']","['2007']",3,X-RAY DIFFRACTION
10.1016/j.str.2004.06.016,"['1TQM', '1TQI', '1TQP']","['2004']",3,X-RAY DIFFRACTION
10.1038/s41467-018-06724-x,"['6GZQ', '6GZX', '6GZZ']","['2018']",3,ELECTRON MICROSCOPY
10.1016/j.molcel.2019.04.022,"['6IP5', '6IP8', '6IP6']","['2018']",3,ELECTRON MICROSCOPY
10.1038/nature14896,"['3JAI', '3JAH', '3JAG']","['2015']",3,ELECTRON MICROSCOPY
10.1038/s41467-019-10922-6,"['6QTA', '6QTB', '6QT8']","['2019']",3,X-RAY DIFFRACTION
10.1038/nature12355,"['4KZX', '4KZY', '4KZZ']","['2013']",3,X-RAY DIFFRACTION
10.1038/s41467-020-16694-8,"['6WNT', '6WNV', '6WNW']","['2020']",3,ELECTRON MICROSCOPY
10.1073/pnas.1804555115,"['6DZP', '6DZI', '6DZK']","['2018']",3,ELECTRON MICROSCOPY
10.1038/nature12720,"['4V4N', '3J45', '3J46']","['2013']",3,ELECTRON MICROSCOPY
10.1038/s41586-018-0373-y,"['6GB2', '6GAZ', '6GAW']","['2018']",3,ELECTRON MICROSCOPY
10.1073/pnas.1512959112,"['4YZV', '4W4G', '4YPB']","['2015', '2014']",3,X-RAY DIFFRACTION
10.1038/s41586-019-1249-5,"['6O9K', '6O9J', '6O7K']","['2019']",3,ELECTRON MICROSCOPY
10.1038/s41586-019-1307-z,"['6R87', '6R86', '6R84']","['2019']",3,ELECTRON MICROSCOPY
10.1038/nature05281,"['4V4X', '4V4Y', '4V4Z']","['2006']",3,X-RAY DIFFRACTION
10.1093/nar/gkv1545,"['5FDV', '5FDU', '5F8K']","['2015']",3,X-RAY DIFFRACTION
10.1038/nature04152,"['1VQ7', '1VQN', '1VQ6']","['2004']",3,X-RAY DIFFRACTION
10.1073/pnas.0700041104,"['2OGM', '2OGN', '2OGO']","['2007']",3,X-RAY DIFFRACTION
10.1038/s41586-020-2418-2,"['6SKG', '6SKF', '6TH6']","['2019']",3,ELECTRON MICROSCOPY
10.7554/eLife.55799,"['6VWM', '6VWN', '6VWL']","['2020']",3,ELECTRON MICROSCOPY
10.1016/j.molcel.2017.10.014,"['6ENF', '6ENJ', '6ENU']","['2017']",3,ELECTRON MICROSCOPY
10.15252/embr.201642943,"['5TGA', '5TGM', '5LYB']","['2016']",3,X-RAY DIFFRACTION
10.15252/embj.201695959,"['5MMM', '5MMJ', '5MMI']","['2016']",3,ELECTRON MICROSCOPY
10.1016/j.jmb.2009.04.005,"['3G4S', '3G71', '3G6E']","['2009']",3,X-RAY DIFFRACTION
10.1016/j.jmb.2008.10.079,"['3BBX', '3BBV', '3BBU']","['2007']",3,ELECTRON MICROSCOPY
10.1016/S0092-8674(00)00216-6,"['1HNX', '1HNW', '1HNZ']","['2000']",3,X-RAY DIFFRACTION
10.1126/SCIENCE.1178535,"['2WWA', '2WWB', '2WW9']","['2009']",3,ELECTRON MICROSCOPY
10.1016/S0092-8674(01)00435-4,"['1JGO', '1JGQ', '1JGP']","['2001']",3,X-RAY DIFFRACTION
10.1126/science.1060612,"['1IBM', '1IBL', '1IBK']","['2001']",3,X-RAY DIFFRACTION
10.1126/science.1175275,"['4V6E', '4V6D', '4V6C']","['2009']",3,X-RAY DIFFRACTION
10.1126/science.1218538,"['4V8H', '4V8G', '4V8I']","['2011']",3,X-RAY DIFFRACTION
10.1093/nar/gky547,"['6GSL', '6GSK', '6GSJ']","['2018']",3,X-RAY DIFFRACTION
10.1016/j.molcel.2015.04.014,"['4Z3S', '5DOY', '5DOX']","['2015']",3,X-RAY DIFFRACTION
10.1016/j.celrep.2020.03.037,"['6Y0G', '6Y57', '6Y2L']","['2020']",3,ELECTRON MICROSCOPY
10.1016/j.celrep.2018.11.040,"['6GZ3', '6GZ4', '6GZ5']","['2018']",3,ELECTRON MICROSCOPY
10.1016/j.celrep.2017.06.029,"['5O61', '5O60', '5O5J']","['2017']",3,ELECTRON MICROSCOPY
10.1126/science.aal2415,"['5MRF', '5MRC', '5MRE']","['2016']",3,ELECTRON MICROSCOPY
10.1126/science.aaw5570,"['6SG9', '6SGA', '6SGB']","['2019']",3,ELECTRON MICROSCOPY
10.1016/j.cell.2005.09.039,"['4V4T', '4V4S', '4V4R']","['2005']",3,X-RAY DIFFRACTION
10.7554/eLife.03080,"['3J79', '3J7A', '6OKK']","['2014', '2019']",3,ELECTRON MICROSCOPY
10.1016/j.bmcl.2013.01.067,"['4IO9', '4IOC', '4IOA']","['2013']",3,X-RAY DIFFRACTION
10.7554/eLife.28560,"['6AWD', '6AWC', '6AWB']","['2017']",3,ELECTRON MICROSCOPY
10.1093/nar/gkx499,"['5X8P', '5X8R', '5X8T']","['2017']",3,ELECTRON MICROSCOPY
10.1093/nar/gkx324,"['5NO2', '5NO4', '5NO3']","['2017']",3,ELECTRON MICROSCOPY
10.1093/nar/gkv991,"['3JBP', '3JBN', '3JBO']","['2015']",3,ELECTRON MICROSCOPY
10.1016/j.molcel.2014.09.020,"['4W2H', '4W2F', '4W2G']","['2014']",3,X-RAY DIFFRACTION
